Chapter,Chapter Name,Element Title,Status,Type,Bloom Levels,UI Elements,Difficulty,Learning Objective,MicroSim Recommendations
01,Intro Ai Intelligent Textbooks,Claude Code Workflow Diagram,,Microsim,Not specified,0,Medium,,
01,Intro Ai Intelligent Textbooks,Evolution of AI Approaches Timeline,,Microsim,Not specified,2,Medium,,
01,Intro Ai Intelligent Textbooks,Five Levels of Textbook Intelligence Visual Model,,Microsim,Not specified,0,Easy,,
01,Intro Ai Intelligent Textbooks,Interactive Learning Element Types Comparison,,Microsim,Not specified,1,Medium,,
01,Intro Ai Intelligent Textbooks,Prompt Engineering Iterative Refinement Workflow,,Microsim,Not specified,0,Easy,,
01,Intro Ai Intelligent Textbooks,Transformer Architecture Diagram,,Microsim,Not specified,2,Medium,,
02,Getting Started Claude Skills,4-Hour Token Window Visualization,,Microsim,Not specified,0,Easy,,
02,Getting Started Claude Skills,Iterative Prompt Refinement Metrics,,Microsim,Not specified,0,Medium,,
02,Getting Started Claude Skills,Skill File Anatomy Diagram,,Microsim,Not specified,1,Medium,,
02,Getting Started Claude Skills,Skill Installation Locations and Priority,,Microsim,Not specified,0,Medium,,
02,Getting Started Claude Skills,Skill Invocation and Execution Lifecycle,,Microsim,Not specified,1,Medium,,
02,Getting Started Claude Skills,Skill Permission Matrix,,Microsim,Not specified,0,Easy,,
02,Getting Started Claude Skills,Skills vs Commands Decision Tree,,Microsim,Not specified,0,Easy,,
03,Course Design Educational Theory,Bloom's Taxonomy 1956 vs 2001 Comparison,,Microsim,Not specified,0,Medium,,
03,Course Design Educational Theory,Bloom's Taxonomy Application Distribution in Quality Courses,,Microsim,Not specified,0,Easy,,
03,Course Design Educational Theory,Course Description Quality Impact on Workflow,,Microsim,Not specified,0,Medium,,
03,Course Design Educational Theory,Course Description Quality Rubric Visualization,,Microsim,Not specified,1,Medium,,
03,Course Design Educational Theory,Lower-Order vs Higher-Order Thinking Skills,,Microsim,Not specified,0,Easy,,
