ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Artificial Intelligence,,AIFND
2,Claude AI,1,AIFND
3,Large Language Models Overview,1,AIFND
4,Anthropic Claude Pro Account,2,AIFND
5,Claude Code Interface,4,AIFND
6,Claude Skill,5,SKILL
7,Skill Definition File Structure,6,SKILL
8,YAML Frontmatter in Skills,7,SKILL
9,Skill Name and Description,8,SKILL
10,Skill License Information,8,SKILL
11,Allowed Tools in Skills,8,SKILL
12,Skill Workflow Instructions,7,SKILL
13,Installing a Claude Skill,6,SKILL
14,Listing Available Skills,13,SKILL
15,Invoking Skills with Slash Commands,13,SKILL
16,Skill Execution Context,15,SKILL
17,Claude Command,6,SKILL
18,Command Definition Files,17,SKILL
19,Installing Claude Commands,17,SKILL
20,Difference Between Skills & Commands,6|17,SKILL
21,Skill Directory Structure,7,SKILL
22,Supporting Assets in Skills,21,SKILL
23,Python Scripts in Skills,22,SKILL
24,Template Files in Skills,22,SKILL
25,Reference Documentation in Skills,22,SKILL
26,Intelligent Textbook,,IBOOK
27,Five Levels of Textbook Intelligence,26,IBOOK
28,Level 1: Static Content,27,IBOOK
29,Level 2: Hyperlinked Navigation,28,IBOOK
30,Level 3: Interactive Elements,29,IBOOK
31,Level 4: Adaptive Content,30,IBOOK
32,Level 5: AI Personalization,31,IBOOK
33,MkDocs,26,MKDOC
34,MkDocs Material Theme,33,MKDOC
35,MkDocs Configuration File,33,MKDOC
36,Navigation Structure in MkDocs,35,MKDOC
37,Markdown Formatting Basics,,MKDOC
38,Admonitions in MkDocs,34|37,MKDOC
39,Learning Graph,26,GRAPH
40,Concept Nodes in Learning Graphs,39,GRAPH
41,Dependency Edges in Learning Graphs,39,GRAPH
42,Directed Acyclic Graph (DAG),39,GRAPH
43,Prerequisite Relationships,39,GRAPH
44,Concept Dependencies,40|41,GRAPH
45,Learning Pathways,42|44,GRAPH
46,Course Description,26,EDTHY
47,Target Audience Definition,46,EDTHY
48,Course Prerequisites,46,EDTHY
49,Main Topics Covered,46,EDTHY
50,Topics Excluded from Course,46,EDTHY
51,Learning Outcomes,46,EDTHY
52,Bloom's Taxonomy,51,EDTHY
