ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Data,,FOUND
2,Information,,FOUND
3,Database,1,FOUND
4,File Management,1,FOUND
5,Spreadsheets,1|4,FOUND
6,Data vs Information,1|2,BASIC
7,Database Management System,3,BASIC
8,Database Users,3,BASIC
9,Database Administrator,8,BASIC
10,Database Designer,8,BASIC
11,End Users,8,BASIC
12,Database Components,3,BASIC
13,Data Models,3,BASIC
14,Hierarchical Model,13,BASIC
15,Network Model,13,BASIC
16,Relational Model,13,RELAT
17,Object-Oriented Model,13,BASIC
18,Tables,16,RELAT
19,Rows,18,RELAT
20,Columns,18,RELAT
21,Tuples,19,RELAT
22,Attributes,20,RELAT
23,Primary Key,18,RELAT
24,Foreign Key,18,RELAT
25,Composite Key,23,RELAT
26,Candidate Key,23,RELAT
27,Super Key,23,RELAT
28,One-to-One Relationship,18,RELAT
29,One-to-Many Relationship,18,RELAT
30,Many-to-Many Relationship,18,RELAT
31,Relational Algebra,16,RELAT
32,Selection Operation,31,RELAT
33,Projection Operation,31,RELAT
34,Union Operation,31,RELAT
35,Intersection Operation,31,RELAT
36,Difference Operation,31,RELAT
37,Cartesian Product,31,RELAT
38,SQL,16,SQL
39,SQL Standards,38,SQL
40,Data Definition Language,38,SQL
41,Data Manipulation Language,38,SQL
42,Data Control Language,38,SQL
43,CREATE Statement,40,SQL
44,ALTER Statement,40,SQL
45,DROP Statement,40,SQL
46,INSERT Statement,41,SQL
47,UPDATE Statement,41,SQL
48,DELETE Statement,41,SQL
49,SELECT Statement,41,SQL
50,WHERE Clause,49,SQL
51,Filtering Data,50,SQL
52,Comparison Operators,50,SQL
53,Logical Operators,50,SQL
54,AND Operator,53,SQL
55,OR Operator,53,SQL
56,NOT Operator,53,SQL
57,ORDER BY Clause,49,SQL
58,Sorting Data,57,SQL
59,ASC Keyword,57,SQL
60,DESC Keyword,57,SQL
61,Aggregate Functions,49,SQL
62,COUNT Function,61,SQL
63,SUM Function,61,SQL
64,AVG Function,61,SQL
